Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
2008,1s,,38,FrRnd,38,Astros,Y,$930000,*Jordan Lyles (minors),RHP,-2.4,218,223,2,.112,.314,357,72,107,5.22,1.40,2,HS,Hartsville HS (Hartsville SC),lylesjo01
2008,1s,,40,FrRnd,40,Braves,Y,$1000000,*Brett DeVall (minors),LHP,,,,,,,,,,,,,HS,Niceville HS (Niceville FL),-9999
2007,1,,9,FrRnd,9,Diamondbacks,Y,$2100000,Jarrod Parker (minors),RHP,6.5,4,8,0,.125,.375,62,25,16,3.68,1.24,0,HS,Norwell HS (Ossian IN),parkeja02
2007,1,,10,FrRnd,10,Giants,Y,$2000000,Madison Bumgarner (minors),LHP,37.2,313,633,19,.172,.524,358,134,124,3.47,1.15,0,HS,South Caldwell HS (Hudson NC),bumgama01
2007,1,,11,FrRnd,11,Mariners,Y,$1900000,Phillippe Aumont (minors),RHP,-0.7,44,1,0,.000,.500,46,1,6,6.8,1.99,2,HS,Ecole Du Versant (Gatineau QC),aumonph01
2007,1,,17,FrRnd,17,Rangers via Astros,Y,$1497000,*Blake Beavan (minors),RHP,1.7,1,2,0,.000,.000,54,16,20,4.61,1.27,0,HS,Irving HS (Irving TX),beavabl01
2007,1,,20,FrRnd,20,Dodgers via Red Sox,Y,$1350000,*Chris Withrow (minors),RHP,1.4,84,1,0,.000,.000,92,6,0,3.07,1.14,1,HS,Midland HS (Midland TX),withrch01
2007,1,,22,FrRnd,22,Giants via Dodgers,Y,$1290000,*Tim Alderson (minors),RHP,,,,,,,,,,,,,HS,Horizon HS (Scottsdale AZ),-9999
2007,1,,24,FrRnd,24,Rangers via Angels,Y,$1237500,*Michael Main (minors),RHP,,,,,,,,,,,,,HS,DeLand HS (DeLand FL),-9999
2007,1,,27,FrRnd,27,Tigers,Y,$3580000,Rick Porcello (minors),RHP,18.8,24,45,0,.178,.400,355,150,125,4.4,1.32,0,HS,Seton Hall Preparatory School (West Orange NJ),porceri01
2007,1s,,31,FrRnd,31,Nationals,Y,$1000000,*Josh Smoker (minors),LHP,-0.7,75,4,0,.000,.000,82,4,2,5.35,1.70,0,HS,Calhoun HS (Calhoun GA),smokejo01
2007,1s,,44,FrRnd,44,Rangers,Y,$1000000,*Neil Ramírez (minors),RHP,0.3,109,2,0,.000,.000,185,4,8,4.46,1.42,3,HS,Kempsville HS (Virginia Beach VA),ramirne01
2007,1s,,47,FrRnd,47,Mets,Y,$657000,*Nathan Vineyard (minors),LHP,,,,,,,,,,,,,HS,Woodland HS (Cartersville GA),-9999
2007,1s,,58,FrRnd,58,Angels,Y,$553300,*Jon Bachanov (minors),RHP,,,,,,,,,,,,,HS,University HS (Orlando FL),-9999
2007,1s,,60,FrRnd,60,Tigers,Y,$540000,*Brandon Hamilton (minors),RHP,,,,,,,,,,,,,HS,Stanhope Elmore HS (Millbrook AL),-9999
2006,1,,7,FrRnd,7,Dodgers,Y,$2300000,Clayton Kershaw (minors),LHP,80.9,357,698,1,.162,.390,455,223,96,2.53,1.02,0,HS,Highland Park HS (Dallas TX),kershcl01
2006,1,,12,FrRnd,12,Rangers,Y,$1600000,Kasey Kiker (minors),LHP,,,,,,,,,,,,,HS,Russell County HS (Seale AL),-9999
2006,1,,16,FrRnd,16,Brewers,Y,$1550000,Jeremy Jeffress (minors),RHP,8.7,290,3,0,.000,.000,414,32,12,3.08,1.32,52,HS,Halifax County HS (South Boston VA),jeffrje01
2006,1,,18,FrRnd,18,Phillies via Mets,Y,$1550000,*Kyle Drabek (minors),RHP,-0.1,3,2,0,.000,.000,43,8,15,5.26,1.70,0,HS,The Woodlands HS (The Woodlands TX),drabeky01
2006,1,,22,FrRnd,22,Nationals via Athletics,Y,$1425000,*Colton Willems (minors),RHP,,,,,,,,,,,,,HS,John Carroll Catholic HS (Fort Pierce FL),-9999
2006,1s,,38,FrRnd,38,Braves,Y,$900000,*Cory Rasmus (minors),RHP,0.5,10,1,0,.000,.000,84,4,5,4.17,1.33,0,HS,Russell County HS (Seale AL),rasmuco02
2006,1s,,43,FrRnd,43,Braves,Y,$800000,*Steve Evarts (minors),LHP,,,,,,,,,,,,,HS,T. R. Robinson HS (Tampa FL),-9999
2006,1s,,44,FrRnd,44,Red Sox,Y,$775000,*Caleb Clay (minors),RHP,,,,,,,,,,,,,HS,Cullman HS (Cullman AL),-9999
2005,1,,16,FrRnd,16,Marlins,Y,$1600000,Chris Volstad (minors),RHP,2.0,130,201,0,.139,.317,170,37,58,5,1.45,0,HS,Palm Beach Gardens HS (Palm Beach Gardens FL),volstch01
2005,1,,20,FrRnd,20,Cubs,Y,$1750000,Mark Pawelek (minors),LHP,,,,,,,,,,,,,HS,Springville HS (Springville UT),-9999
2005,1,,22,FrRnd,22,Marlins via Giants,Y,$1225000,*Aaron Thompson (minors),LHP,-0.1,10,0,0,,,52,1,3,4.94,1.52,0,HS,Second Baptist School (Houston TX),thompaa01
2005,1s,,32,FrRnd,32,Rockies,Y,$1025000,*Chaz Roe (minors),RHP,1.2,62,1,0,.000,.000,245,11,8,3.89,1.34,3,HS,Lafayette HS (Lexington KY),roech01
2005,1s,,34,FrRnd,34,Marlins,Y,$975000,*Ryan Tucker (minors),RHP,-1.3,11,7,0,.000,.000,18,2,3,8.14,1.88,0,HS,Temple City HS (Temple City CA),tuckery01
2005,1s,,37,FrRnd,37,Angels,Y,$925000,*Trevor Bell (minors),RHP,-1.2,8,1,0,.000,.000,54,4,8,5.57,1.76,0,HS,Crescenta Valley HS (La Crescenta CA),belltr01
2005,1s,,41,FrRnd,41,Braves,Y,$825000,*Beau Jones (minors),LHP,,,,,,,,,,,,,HS,Destrehan HS (Destrehan LA),-9999
2005,1s,,44,FrRnd,44,Marlins,Y,$775000,*Sean West (minors),LHP,-0.1,21,34,0,.059,.147,22,8,8,5.03,1.58,0,HS,Captain Shreve HS (Shreveport LA),westse01
2005,1s,,46,FrRnd,46,Cardinals,Y,$675000,*Tyler Herron (minors),RHP,,,,,,,,,,,,,HS,Wellington HS (Wellington FL),-9999
2005,1s,,47,FrRnd,47,Red Sox,Y,$730000,*Michael Bowden (minors),RHP,0.8,64,2,0,.000,.000,103,3,5,4.51,1.40,0,HS,Waubonsie Valley HS (Aurora IL),bowdemi01
2004,1,,5,FrRnd,5,Brewers,Y,$2200000,Mark Rogers (minors),RHP,1.1,12,16,0,.250,.625,11,3,1,3.49,1.12,0,HS,Mount Ararat School (Topsham ME),rogerma01
2004,1,,7,FrRnd,7,Reds,Y,$2300000,Homer Bailey (minors),RHP,6.2,208,373,0,.164,.375,245,81,86,4.56,1.37,0,HS,La Grange HS (La Grange TX),baileho02
2004,1,,17,FrRnd,17,Dodgers,Y,$1575000,Scott Elbert (minors),LHP,1.5,120,6,0,.167,.500,127,4,3,3.54,1.33,2,HS,Seneca HS (Seneca MO),elbersc01
2004,1,,23,FrRnd,23,Yankees via Astros,Y,$1400000,*Phil Hughes (minors),RHP,11.0,32,18,0,.000,.000,290,88,79,4.52,1.31,3,HS,Foothill HS (Santa Ana CA),hugheph01
2004,1,,25,FrRnd,25,Twins via Cubs,Y,$1000000,*Kyle Waldrop (minors),RHP,0.5,0,0,0,,,24,1,1,3.62,1.52,0,HS,Farragut HS (Knoxville TN),waldrky01
2004,1,,30,FrRnd,30,Rangers via Braves,Y,$1050000,*Eric Hurley (minors),RHP,0.1,1,2,0,.500,1.000,5,1,2,5.47,1.42,0,HS,Wolfson HS (Jacksonville FL),hurleer01
2004,1s,,38,FrRnd,38,White Sox,Y,$850000,*Gio Gonzalez (minors),lHP,28.3,221,410,3,.090,.247,344,131,101,3.7,1.32,0,HS,Monsignor Edward Pace HS (Miami Gardens FL),gonzagi01
2004,1s,,39,FrRnd,39,Twins,Y,$875000,*Jay Rainville (minors),RHP,,,,,,,,,,,,,HS,Bishop Hendricken HS (Warwick RI),-9999
2003,1,,9,FrRnd,9,Rangers,Y,$2100000,John Danks (minors),LHP,20.2,11,24,0,.083,.203,247,79,104,4.38,1.35,0,HS,Round Rock HS (Round Rock TX),danksjo01
2003,1,,16,FrRnd,16,Marlins,Y,$1850000,Jeff Allison (minors),RHP,,,,,,,,,,,,,HS,Peabody Veterans Memorial HS (Peabody MA),-9999
2003,1,,24,FrRnd,24,Dodgers,Y,$1375000,Chad Billingsley (minors),RHP,17.3,215,355,3,.138,.369,226,83,64,3.72,1.37,0,HS,Defiance HS (Defiance OH),billich01
2003,1s,,31,FrRnd,31,Indians,Y,$1025000,*Adam Miller (minors),RHP,,,,,,,,,,,,,HS,McKinney HS (McKinney TX),-9999
2003,1s,,34,FrRnd,34,Giants,Y,$975000,*Craig Whitaker (minors),RHP,,,,,,,,,,,,,HS,Lufkin HS (Lufkin TX),-9999
2003,1s,,35,FrRnd,35,Braves,Y,$950000,*Luis Atilano (minors),RHP,-0.9,13,25,0,.040,.080,16,6,7,5.15,1.49,0,HS,Gabriela Mistral HS (San Juan Puerto Rico),atilalu01
2002,1,,3,FrRnd,3,Reds,Y,$2500000,Chris Gruler (minors),RHP,,,,,,,,,,,,,HS,Liberty HS (Brentwood CA),-9999
2002,1,,4,FrRnd,4,Orioles,Y,$3200000,Adam Loewen (minors),LHP,-0.3,40,37,1,.189,.583,63,10,8,5.85,1.68,0,HS,Fraser Valley Christian HS (Surrey BC),loewead01
2002,1,,5,FrRnd,5,Expos,Y,$2500000,Clint Everts (minors),RHP,,,,,,,,,,,,,HS,Cypress Falls HS (Houston TX),-9999
2002,1,,6,FrRnd,6,Royals,Y,$2475000,Zack Greinke (minors),RHP,77.4,260,521,9,.225,.598,586,225,156,3.49,1.17,1,HS,Apopka HS (Apopka FL),greinza01
2002,1,,15,FrRnd,15,Mets,Y,$2150000,Scott Kazmir (minors),LHP,22.3,45,72,0,.111,.234,303,108,97,4.02,1.35,0,HS,Cypress Falls HS (Houston TX),kazmisc01
2002,1,,17,FrRnd,17,Phillies,Y,$2000000,Cole Hamels (minors),LHP,59.0,331,688,2,.169,.401,423,163,122,3.43,1.18,0,HS,Rancho Bernardo HS (San Diego CA),hamelco01
2002,1,,25,FrRnd,25,Giants,Y,$1375000,Matt Cain (minors),RHP,29.0,332,611,7,.121,.331,342,104,118,3.68,1.23,0,HS,Houston HS (Germantown TN),cainma01
2002,1s,,31,FrRnd,31,Dodgers,Y,$1200000,*Greg Miller (minors),LHP,,,,,,,,,,,,,HS,Esperanza HS (Anaheim CA),-9999
2001,1,,4,FrRnd,4,Phillies,Y,$4200000,Gavin Floyd (minors),RHP,15.7,44,75,0,.067,.158,243,74,76,4.37,1.32,0,HS,Mount St. Joseph HS (Baltimore MD),floydga01
2001,1,,9,FrRnd,9,Royals,Y,$2400000,Colt Griffin (minors),RHP,,,,,,,,,,,,,HS,Marshall HS (Marshall TX),-9999
2001,1,,12,FrRnd,12,Brewers,Y,$2075000,Mike Jones (minors),RHP,,,,,,,,,,,,,HS,Thunderbird HS (Phoenix AZ),-9999
2001,1,,16,FrRnd,16,White Sox via Marlins,Y,$1500000,*Kris Honel (minors),RHP,,,,,,,,,,,,,HS,Providence Catholic HS (New Lenox IL),-9999
2001,1,,17,FrRnd,17,Indians via Red Sox,Y,$1860000,*Dan Denham (minors),RHP,,,,,,,,,,,,,HS,Deer Valley HS (Antioch CA),-9999
2001,1,,20,FrRnd,20,Reds,N,,Jeremy Sowers (minors),LHP,1.6,4,4,0,.250,.750,72,18,30,5.18,1.44,0,HS,Ballard HS (Louisville KY),sowerje01
2001,1,,24,FrRnd,24,Braves via Dodgers,Y,$1340000,*Macay McBride (minors),LHP,-0.2,104,0,0,,,132,6,2,4.35,1.63,2,HS,Screven County HS (Sylvania GA),mcbrima01
2001,1,,26,FrRnd,26,Athletics via Mets,Y,$1350000,*Jeremy Bonderman (minors),RHP,4.9,15,30,0,.033,.067,225,69,81,4.91,1.41,0,HS,Pasco HS (Pasco WA),bondeje01
2001,1,,27,FrRnd,27,Indians via White Sox,N,,*Alan Horne (minors),RHP,,,,,,,,,,,,,HS,Marianna HS (Marianna FL),-9999
2001,1s,,35,FrRnd,35,Indians,Y,$975000,*J.D. Martin (minors),RHP,0.7,24,37,0,.162,.373,24,6,9,4.32,1.41,0,HS,Sherman E. Burroughs HS (Ridgecrest CA),martijd01
2000,1,,4,FrRnd,4,Royals,Y,$2500000,Mike Stodolka (minors),LHP,,,,,,,,,,,,,HS,Centennial HS (Corona CA),-9999
2000,1,,7,FrRnd,7,Rockies,N,,Matt Harrington (minors),RHP,,,,,,,,,,,,,HS,Palmdale HS (Palmdale CA),-9999
2000,1,,8,FrRnd,8,Tigers,Y,$2150000,Matt Wheatland (minors),RHP,,,,,,,,,,,,,HS,Rancho Bernardo HS (San Diego CA),-9999
2000,1,,9,FrRnd,9,Padres,Y,$2200000,Mark Phillips (minors),LHP,,,,,,,,,,,,,HS,Hanover HS (Hanover PA),-9999
2000,1,,10,FrRnd,10,Angels,Y,$2080000,Joe Torres (minors),LHP,,,,,,,,,,,,,HS,Gateway HS (Kissimmee FL),-9999
2000,1,,19,FrRnd,19,Pirates,Y,$1650000,Sean Burnett (minors),LHP,5.9,351,29,0,.069,.285,380,15,23,3.52,1.34,10,HS,Wellington HS (Wellington FL),burnese01
2000,1,,21,FrRnd,21,Giants,Y,$1245000,Boof Bonser (minors),RHP,-0.5,6,6,0,.000,.000,111,19,25,5.18,1.46,0,HS,Gibbs HS (St. Petersburg FL),bonsebo01
2000,1,,29,FrRnd,29,Braves via Diamondbacks,Y,$1250000,*Adam Wainwright (minors),RHP,45.3,426,744,10,.192,.510,478,200,128,3.53,1.24,3,HS,Glynn Academy HS (Brunswick GA),wainwad01
2000,1s,,32,FrRnd,32,Orioles,Y,$1050000,*Tripper Johnson (minors),RHP,,,,,,,,,,,,,HS,Newport HS (Bellevue WA),-9999
2000,1s,,33,FrRnd,33,Blue Jays,Y,$950000,*Dustin McGowan (minors),RHP,1.6,135,27,0,.074,.148,290,35,34,4.5,1.38,2,HS,Long County HS (Ludowici GA),mcgowdu01
2000,1s,,34,FrRnd,34,Reds,Y,$900000,*Dustin Moseley (minors),RHP,0.7,24,30,0,.133,.295,101,15,21,4.67,1.43,0,HS,Arkansas HS (Texarkana AR),moseldu01
2000,1s,,36,FrRnd,36,Mets,Y,$895000,*Bobby Keppel (minors),RHP,0.2,7,2,0,.000,.333,49,1,5,5.36,1.66,0,HS,De Smet Jesuit HS (Creve Coeur MO),keppebo01
2000,1s,,37,FrRnd,37,Indians,Y,$850000,*Derek Thompson (minors),LHP,0.2,4,4,0,.000,.000,4,0,0,3.5,1.44,0,HS,Land O'Lakes HS (Land O'Lakes FL),thompde01
1999,1,,2,FrRnd,2,Marlins,Y,$3625000,Josh Beckett (minors),RHP,35.7,153,289,3,.142,.390,335,138,106,3.88,1.23,0,HS,Spring HS (Spring TX),beckejo02
1999,1,,6,FrRnd,6,Expos,Y,$1700000,Josh Girdley (minors),LHP,,,,,,,,,,,,,HS,Jasper HS (Jasper TX),-9999
1999,1,,8,FrRnd,8,Pirates,Y,$2250000,Bobby Bradley (minors),RHP,,,,,,,,,,,,,HS,Wellington HS (Wellington FL),-9999
1999,1,,12,FrRnd,12,Phillies,Y,$2050000,Brett Myers (minors),RHP,14.6,329,471,0,.134,.334,381,97,96,4.25,1.33,40,HS,Englewood HS (Jacksonville FL),myersbr01
1999,1,,14,FrRnd,14,Reds,Y,$1750000,Ty Howington (minors),LHP,,,,,,,,,,,,,HS,Hudson's Bay HS (Vancouver WA),-9999
1999,1,,15,FrRnd,15,White Sox,Y,$1750000,Jason Stumm (minors),RHP,,,,,,,,,,,,,HS,Centralia HS (Centralia WA),-9999
1999,1,,18,FrRnd,18,Orioles via Cardinals,Y,$1795000,*Rich Stahl (minors),LHP,,,,,,,,,,,,,HS,Newton HS (Covington GA),-9999
1999,1,,28,FrRnd,28,Padres,Y,$1100000,Gerik Baxter (minors),RHP,,,,,,,,,,,,,HS,Edmonds-Woodway HS (Edmonds WA),-9999
1999,1s,,31,FrRnd,31,Diamondbacks,Y,$1300000,*Casey Daigle (minors),RHP,-1.2,32,18,0,.111,.333,33,3,4,7.16,1.97,0,HS,Sulphur HS (Sulphur LA),daiglca01
1999,1s,,34,FrRnd,34,Orioles,Y,$950000,*Josh Cenate (minors),LHP,,,,,,,,,,,,,HS,Jefferson HS (Shenandoah Junction WV),-9999
1999,1s,,35,FrRnd,35,White Sox,Y,$1000000,*Brian West (minors),RHP,,,,,,,,,,,,,HS,West Monroe HS (West Monroe LA),-9999
1999,1s,,39,FrRnd,39,Giants,Y,$832500,*Jerome Williams (minors),RHP,3.5,122,167,0,.108,.255,236,52,66,4.59,1.39,2,HS,Waipahu HS (Waipahu HI),willije01
1999,1s,,40,FrRnd,40,Red Sox,Y,$832500,*Brad Baker (minors),RHP,,,,,,,,,,,,,HS,Pioneer Valley Regional School (Northfield MA),-9999
1999,1s,,43,FrRnd,43,Royals,Y,$725000,*Jimmy Gobble (minors),LHP,1.5,13,2,0,.000,.000,247,22,23,5.29,1.49,4,HS,John S. Battle HS (Bristol VA),gobblji01
1999,1s,,44,FrRnd,44,Orioles,Y,$737500,*Scott Rice (minors),LHP,-0.1,98,0,0,,,105,5,7,4.18,1.48,0,HS,Royal HS (Simi Valley CA),ricesc01
1999,1s,,47,FrRnd,47,Rangers,Y,$600000,*David Mead (minors),RHP,,,,,,,,,,,,,HS,Soddy-Daisy HS (Soddy-Daisy TN),-9999
1998,1,,13,FrRnd,13,Brewers,Y,$1725000,J.M. Gold (minors),RHP,,,,,,,,,,,,,HS,Toms River North HS (Toms River NJ),-9999
1998,1,,20,FrRnd,20,Indians,Y,$1300000,CC Sabathia (minors),LHP,62.3,48,121,3,.207,.525,561,251,161,3.74,1.26,0,HS,Vallejo HS (Vallejo CA),sabatc.01
1998,1,,28,FrRnd,28,Rockies via Braves,Y,$1012500,*Matt Roney (minors),RHP,-0.1,4,2,0,.500,1.000,48,1,10,5.42,1.49,0,HS,Edmond North HS (Edmond OK),roneyma01
1998,1s,,31,FrRnd,31,Royals,Y,$1162500,*Chris George (minors),LHP,-0.5,2,3,0,.333,.833,47,14,20,6.48,1.66,0,HS,Klein HS (Klein TX),georgch02
1998,1s,,34,FrRnd,34,Tigers,Y,$865000,*Nate Cornejo (minors),RHP,0.0,2,4,0,.000,.000,56,12,29,5.41,1.66,0,HS,Wellington HS (Wellington KS),cornena01
1998,1s,,37,FrRnd,37,Astros,Y,$595000,*Mike Nannini (minors),RHP,,,,,,,,,,,,,HS,Green Valley HS (Henderson NV),-9999
1998,1s,,38,FrRnd,38,Giants,Y,$587000,*Chris Jones (minors),LHP,,,,,,,,,,,,,HS,South Mecklenburg HS (Charlotte NC),-9999
1998,1s,,43,FrRnd,43,Yankees,N,,*Mark Prior (minors),RHP,16.6,102,204,1,.201,.496,106,42,29,3.51,1.23,0,HS,University HS (San Diego CA),priorma01
1997,1,,6,FrRnd,6,Mets,Y,$1700000,Geoff Goetz (minors),LHP,,,,,,,,,,,,,HS,Jesuit HS (Tampa FL),-9999
1997,1,,10,FrRnd,10,Cubs,Y,$1325000,Jon Garland (minors),RHP,22.5,102,175,1,.137,.353,365,136,125,4.37,1.39,1,HS,John F. Kennedy HS (Granada Hills CA),garlajo01
1997,1,,17,FrRnd,17,Red Sox,Y,$975000,John Curtice (minors),LHP,,,,,,,,,,,,,HS,Great Bridge HS (Chesapeake VA),-9999
1997,1,,18,FrRnd,18,Rockies,Y,$875000,Mark Mangum (minors),RHP,,,,,,,,,,,,,HS,Kingwood HS (Kingwood TX),-9999
1997,1,,19,FrRnd,19,Mariners,Y,$2175000,Ryan Anderson (minors),LHP,,,,,,,,,,,,,HS,Divine Child HS (Dearborn MI),-9999
1997,1,,23,FrRnd,23,Expos,Y,,Donnie Bridges (minors),RHP,,,,,,,,,,,,,HS,Oak Grove HS (Hattiesburg MS),-9999
1997,1,,28,FrRnd,28,Indians,Y,$1600000,Tim Drew (minors),RHP,-2.3,25,7,0,.000,.125,35,2,4,7.02,1.80,2,HS,Lowndes HS (Valdosta GA),drewti01
1997,1,,31,FrRnd,31,Rays,Y,$700000,Jason Standridge (minors),RHP,-0.7,55,0,0,,,80,3,9,5.8,1.77,0,HS,Hewitt-Trussville HS (Trussville AL),standja01
1997,1s,,37,FrRnd,37,Expos,Y,,*Chris Stowe (minors),RHP,,,,,,,,,,,,,HS,Chancellor HS (Fredericksburg VA),-9999
1997,1s,,47,FrRnd,47,Expos,Y,,*T.J. Tucker (minors),RHP,0.6,160,36,0,.278,.583,171,13,9,4.57,1.47,4,HS,River Ridge HS (New Port Richey FL),tucket.01
1997,1s,,48,FrRnd,48,Expos,Y,,*Shane Arthurs (minors),RHP,,,,,,,,,,,,,HS,Westmoore HS (Oklahoma City OK),-9999
1996,1,,5,FrRnd,5,Expos,N,,John Patterson (minors),RHP,5.0,84,133,0,.105,.253,88,18,25,4.32,1.35,1,HS,West Orange-Stark HS (Orange TX),pattejo02
1996,1,,7,FrRnd,7,Giants,N,,Matt White (minors),RHP,,,,,,,,,,,,,HS,Waynesboro Area HS (Waynesboro PA),-9999
1996,1,,11,FrRnd,11,Phillies,Y,$1100000,Adam Eaton (minors),RHP,4.6,208,341,3,.194,.543,209,71,68,4.94,1.44,0,HS,Snohomish HS (Snohomish WA),eatonad01
1996,1,,12,FrRnd,12,White Sox,N,,Bobby Seay (minors),LHP,3.0,27,1,0,.000,.000,261,11,6,4.16,1.37,1,HS,Sarasota HS (Sarasota FL),seaybo01
1996,1,,17,FrRnd,17,Cubs,Y,$900000,Todd Noel (minors),RHP,,,,,,,,,,,,,HS,North Vermilion HS (Maurice LA),-9999
1996,1,,21,FrRnd,21,Rockies,Y,$750000,Jake Westbrook (minors),RHP,13.1,107,169,1,.130,.382,315,105,103,4.32,1.41,0,HS,Madison County HS (Danielsville GA),westbja01
1996,1,,22,FrRnd,22,Mariners,Y,$820000,Gil Meche (minors),RHP,16.8,11,23,0,.130,.261,258,84,83,4.49,1.42,0,HS,Acadiana HS (Lafayette LA),mechegi01
1996,1,,24,FrRnd,24,Rangers via Yankees,Y,$834000,*Sam Marsonek (minors),RHP,0.1,0,0,0,,,1,0,0,0,1.50,0,HS,Jesuit HS (Tampa FL),marsosa01
1996,1,,26,FrRnd,26,Red Sox,Y,$665000,Josh Garrett (minors),RHP,,,,,,,,,,,,,HS,South Spencer HS (Rockport IN),-9999
1996,1,,30,FrRnd,30,D'backs,Y,$1046000,Nick Bierbrodt (minors),LHP,-1.1,8,8,0,.500,1.225,38,6,9,6.66,1.82,0,HS,Millikan HS (Long Beach CA),bierbni01
1996,1s,,33,FrRnd,33,Reds,N,,*Matt McClendon (minors),RHP,,,,,,,,,,,,,HS,Dr. Phillips HS (Orlando FL),-9999
1996,1s,,34,FrRnd,34,Red Sox,Y,,*Chris Reitsma (minors),RHP,0.6,303,87,0,.103,.258,338,32,46,4.7,1.41,37,HS,Calgary Christian HS (Calgary AB),reitsch01
1996,1s,,35,FrRnd,35,Braves,Y,,*Jason Marquis (minors),RHP,6.8,422,663,5,.196,.491,377,124,118,4.61,1.45,1,HS,Tottenville HS (Staten Island NY),marquja01
1995,1,,4,FrRnd,4,Cubs,Y,$1265000,Kerry Wood (minors),RHP,27.6,341,346,7,.171,.444,446,86,75,3.67,1.27,63,HS,Grand Prairie HS (Grand Prairie TX),woodke02
1995,1,,15,FrRnd,15,Red Sox,Y,$986000,Andy Yount (minors),RHP,,,,,,,,,,,,,HS,Kingwood HS (Kingwood TX),-9999
1995,1,,16,FrRnd,16,Giants,Y,$900000,Joe Fontenot (minors),RHP,-0.8,6,10,0,.000,.000,8,0,7,6.33,1.78,0,HS,Acadiana HS (Lafayette LA),fontejo01
1995,1,,17,FrRnd,17,Blue Jays,Y,$895000,Roy Halladay (minors),RHP,64.2,115,275,0,.124,.267,416,203,105,3.38,1.18,1,HS,Arvada West HS (Arvada CO),hallaro01
1995,1,,22,FrRnd,22,Astros,Y,$500000,Tony McKnight (minors),RHP,0.8,21,37,0,.000,.051,21,7,7,4.63,1.45,0,HS,Arkansas HS (Texarkana AR),mcknito01
1995,1,,26,FrRnd,26,Braves,N,,Chad Hutchinson (minors),RHP,-0.5,3,1,0,.000,.000,3,0,0,24.75,3.75,0,HS,Torrey Pines HS (San Diego CA),hutchch01
1995,1s,,30,FrRnd,30,Phillies,Y,,*Dave Coggin (minors),RHP,0.2,57,48,0,.042,.161,60,10,12,4.52,1.51,0,HS,Upland HS (Upland CA),coggida01
1994,1,,7,FrRnd,7,Rockies,Y,$905000,Doug Million (minors),LHP,,,,,,,,,,,,,HS,Sarasota HS (Sarasota FL),-9999
1994,1,,10,FrRnd,10,Indians,Y,$1150000,Jaret Wright (minors),RHP,4.4,90,78,1,.141,.376,226,68,60,5.09,1.56,2,HS,Katella HS (Anaheim CA),wrighja02
1994,1,,15,FrRnd,15,Cubs,Y,$712500,Jay Peterson (minors),RHP,,,,,,,,,,,,,HS,East HS (Denver CO),-9999
1994,1,,16,FrRnd,16,Royals,Y,$1000000,Matt Smith (minors),LHP,,,,,,,,,,,,,HS,Grants Pass HS (Grants Pass OR),-9999
1994,1,,25,FrRnd,25,Astros via Giants,Y,$750000,*Scott Elarton (minors),RHP,2.6,146,166,0,.139,.344,232,56,61,5.29,1.43,3,HS,Lamar HS (Lamar CO),elartsc01
1994,1,,27,FrRnd,27,Braves,Y,$500000,Jacob Shumate (minors),RHP,,,,,,,,,,,,,HS,Hartsville HS (Hartsville SC),-9999
1993,1,,8,FrRnd,8,Mets,Y,$900000,Kirk Presley (minors),RHP,,,,,,,,,,,,,HS,Tupelo HS (Tupelo MS),-9999
1993,1,,13,FrRnd,13,Yankees,Y,$620000,Matt Drews (minors),RHP,,,,,,,,,,,,,HS,Sarasota HS (Sarasota FL),-9999
1993,1,,15,FrRnd,15,Blue Jays via Rangers,Y,$580000,*Chris Carpenter (minors),RHP,34.2,196,439,2,.118,.296,350,144,94,3.76,1.28,0,HS,Trinity HS (Manchester NH),carpech01
1993,1,,23,FrRnd,23,Brewers,Y,$525000,Jeff D'Amico (minors),RHP,5.6,90,148,2,.101,.342,139,45,52,4.61,1.34,0,HS,Northeast HS (St. Petersburg FL),d'amije01
1993,1,,28,FrRnd,28,Rockies,Y,$395000,Jamey Wright (minors),RHP,9.2,384,443,1,.144,.357,719,97,130,4.81,1.54,2,HS,Westmoore HS (Oklahoma City OK),wrighja01
1993,1s,,41,FrRnd,41,Blue Jays,Y,,*Jeremy Lee (minors),RHP,,,,,,,,,,,,,HS,Galesburg HS (Galesburg IL),-9999
1992,1,,17,FrRnd,17,Royals via Padres,Y,$410000,*Jim Pittsley (minors),RHP,-1.1,17,5,0,.200,.733,81,7,12,6.02,1.71,0,HS,DuBois Area HS (DuBois PA),pittsji01
1992,1,,21,FrRnd,21,Braves,Y,$380000,Jamie Arnold (minors),RHP,-1.4,47,19,0,.158,.411,50,2,7,5.73,1.63,2,HS,Osceola HS (Kissimmee FL),arnolja01
1992,1,,26,FrRnd,26,Twins,Y,$350000,Dan Serafini (minors),LHP,-0.8,73,43,0,.070,.200,104,15,16,6.04,1.72,1,HS,Junipero Serra HS (San Mateo CA),serafda01
1992,1s,,30,FrRnd,30,Mets,N,,*Jon Ward (minors),RHP,,,,,,,,,,,,,HS,Huntington Beach HS (Huntington Beach CA),-9999
1991,1,,1,FrRnd,1,Yankees,Y,$1550000,Brien Taylor (minors),LHP,,,,,,,,,,,,,HS,East Carteret HS (Beaufort NC),-9999
1991,1,,5,FrRnd,5,Brewers,N,,Ken Henderson (minors),RHP,,,,,,,,,,,,,HS,Ringgold HS (Ringgold GA),-9999
